지역,2018년-2019년 평균 총 인구수(명),2018년-2019년 8대 도시 평균 총 인구수 대비 지역의 평균 총 인구수비
수원,1197815.5,0.050179347
광주,1457902,0.06107499
대구,2449900,0.102632151
대전,1482403,0.062101395
부산,3427647,0.143592303
서울,9747365,0.408340355
울산,1151821,0.048252527
인천,2955834,0.123826932
