지역,날짜,오존(O3),미세먼지(PM10),초미세먼지(PM2.5)
수원,2018-01-01,0.008958333333333316,42.766233766233775,21.84756097560976
수원,2018-01-02,0.007590361445783123,41.896969696969705,23.93081761006289
수원,2018-01-03,0.010511904761904748,34.670886075949376,18.63095238095238
수원,2018-01-04,0.005339393939393942,45.394557823129254,26.63414634146341
수원,2018-01-05,0.008345454545454541,54.5859872611465,37.297468354430386
수원,2018-01-06,0.007779761904761899,50.0,33.83870967741935
수원,2018-01-07,0.003916666666666671,52.58450704225352,40.76433121019108
수원,2018-01-08,0.008294478527607351,51.91975308641975,37.223140495867774
수원,2018-01-09,0.018871951219512184,36.0188679245283,18.309677419354838
수원,2018-01-10,0.014851190476190454,28.559748427672965,11.382716049382715
수원,2018-01-11,0.015061349693251512,28.47972972972973,17.17105263157895
수원,2018-01-12,0.012790123456790104,21.661971830985923,13.377622377622378
수원,2018-01-13,0.004505952380952385,47.36708860759494,34.95959595959596
수원,2018-01-14,0.012470238095238076,60.58333333333334,45.75490196078432
수원,2018-01-15,0.00815243902439024,82.68032786885246,63.94805194805195
수원,2018-01-16,0.002884146341463417,121.90756302521008,93.66071428571428
수원,2018-01-17,0.0061377245508982044,98.83962264150944,73.6969696969697
수원,2018-01-18,0.008732142857142841,78.15277777777777,52.89285714285714
수원,2018-01-19,0.00919631901840489,54.322981366459636,26.69230769230769
수원,2018-01-20,0.010488095238095215,106.60958904109587,67.70238095238095
수원,2018-01-21,0.006642857142857142,69.54014598540147,43.15923566878982
수원,2018-01-22,0.009704819277108414,47.470588235294116,27.466666666666665
수원,2018-01-23,0.02319512195121949,24.117647058823533,10.89873417721519
수원,2018-01-24,0.02094578313253009,26.386206896551727,8.237804878048781
수원,2018-01-25,0.01870059880239519,23.357142857142854,10.416666666666666
수원,2018-01-26,0.015272727272727254,33.86075949367089,18.12804878048781
수원,2018-01-27,0.005327380952380956,46.85365853658536,29.322368421052627
수원,2018-01-28,0.018571428571428544,31.123456790123452,17.219512195121947
수원,2018-01-29,0.018179640718562862,46.47904191616767,14.774390243902438
수원,2018-01-30,0.010779761904761884,42.57142857142857,20.463414634146346
수원,2018-01-31,0.007999999999999983,42.13855421686747,19.874251497005986
수원,2018-02-01,0.007399999999999987,39.625766871165645,20.16455696202532
수원,2018-02-02,0.0049817073170731726,57.88957055214725,35.23899371069182
수원,2018-02-03,0.020511904761904738,36.90963855421687,18.077844311377245
수원,2018-02-04,0.023511904761904755,30.732919254658388,17.150602409638555
수원,2018-02-05,0.01935624999999998,25.96026490066225,12.449367088607595
수원,2018-02-06,0.02006547619047616,29.177914110429448,15.969879518072288
수원,2018-02-07,0.00915060240963854,40.57142857142857,25.693251533742327
수원,2018-02-08,0.006214285714285715,59.41614906832297,40.06666666666667
수원,2018-02-09,0.006246666666666671,70.01282051282051,51.111111111111114
수원,2018-02-10,0.01585714285714283,83.69938650306749,45.48214285714285
수원,2018-02-11,0.022999999999999972,46.32727272727273,11.632530120481928
수원,2018-02-12,0.01813095238095236,42.8,13.8
수원,2018-02-13,0.013939024390243877,47.30909090909091,18.43558282208589
수원,2018-02-14,0.0206746987951807,63.03012048192771,29.4251497005988
수원,2018-02-15,0.02105357142857141,39.74404761904762,15.309523809523812
수원,2018-02-16,0.018607142857142826,43.048192771084345,22.006097560975608
수원,2018-02-17,0.026374999999999985,46.472727272727276,12.261904761904766
수원,2018-02-18,0.011267857142857128,38.02453987730061,17.0
수원,2018-02-19,0.005385620915032684,61.916083916083906,40.81118881118881
수원,2018-02-20,0.01359060402684562,68.34246575342465,42.72666666666667
수원,2018-02-21,0.019096969696969668,37.716049382716044,16.77639751552795
수원,2018-02-22,0.018491017964071838,45.2060606060606,23.409638554216873
수원,2018-02-23,0.024571428571428543,92.28571428571428,55.378048780487795
수원,2018-02-24,0.0176785714285714,85.07407407407408,50.39759036144578
수원,2018-02-25,0.015964285714285698,45.786585365853654,27.582822085889568
수원,2018-02-26,0.015337423312883406,62.0,36.392405063291136
수원,2018-02-27,0.004318181818181821,97.47402597402599,64.19205298013243
수원,2018-02-28,0.015785714285714257,58.6530612244898,41.929577464788736
수원,2018-03-01,0.0314285714285714,46.38,31.229299363057326
수원,2018-03-02,0.0195900621118012,64.46794871794873,26.50625
수원,2018-03-03,0.015886904761904727,55.17964071856287,26.61585365853659
수원,2018-03-04,0.013011904761904744,35.74125874125874,21.731543624161077
수원,2018-03-05,0.030774390243902407,6.526315789473684,2.7133333333333334
수원,2018-03-06,0.012267857142857129,30.209876543209877,14.213836477987421
수원,2018-03-07,0.02204268292682924,29.945121951219512,13.080246913580249
수원,2018-03-08,0.0198734939759036,33.893081761006286,22.944444444444446
수원,2018-03-09,0.014077844311377229,71.85443037974683,49.246835443037966
수원,2018-03-10,0.02166666666666664,50.17610062893082,33.122699386503065
수원,2018-03-11,0.031345238095238086,58.203821656050955,37.59036144578313
수원,2018-03-12,0.019734939759036108,117.8159509202454,76.25748502994011
수원,2018-03-13,0.019012269938650274,61.6139240506329,38.25333333333333
수원,2018-03-14,0.025470238095238074,25.682634730538922,11.830985915492956
수원,2018-03-15,0.01412121212121209,27.596273291925467,17.451851851851853
수원,2018-03-16,0.0316488095238095,14.853658536585364,7.711111111111111
수원,2018-03-17,0.020505952380952368,30.327380952380953,16.618705035971225
수원,2018-03-18,0.01549999999999998,68.40845070422536,51.32283464566929
수원,2018-03-19,0.02361349693251532,25.77027027027027,20.814814814814813
수원,2018-03-20,0.036755952380952375,18.80952380952381,6.992753623188406
